_id,RSN,YEAR_REGISTERED,YEAR_EVALUATED,YEAR_BUILT,PROPERTY_TYPE,WARD,WARDNAME,SITE_ADDRESS,CONFIRMED_STOREYS,CONFIRMED_UNITS,EVALUATION_COMPLETED_ON,SCORE,RESULTS_OF_SCORE,NO_OF_AREAS_EVALUATED,ENTRANCE_LOBBY,ENTRANCE_DOORS_WINDOWS,SECURITY,STAIRWELLS,LAUNDRY_ROOMS,INTERNAL_GUARDS_HANDRAILS,GARBAGE_CHUTE_ROOMS,GARBAGE_BIN_STORAGE_AREA,ELEVATORS,STORAGE_AREAS_LOCKERS,INTERIOR_WALL_CEILING_FLOOR,INTERIOR_LIGHTING_LEVELS,GRAFFITI,EXTERIOR_CLADDING,EXTERIOR_GROUNDS,EXTERIOR_WALKWAYS,BALCONY_GUARDS,WATER_PEN_EXT_BLDG_ELEMENTS,PARKING_AREA,OTHER_FACILITIES,GRID,LATITUDE,LONGITUDE,X,Y
816885,4167687,2017.0,2021,1948.0,TCHC,13,Toronto Centre,260 SUMACH ST,3,48,2021-12-16,66,Evaluation needs to be conducted in 2 years,16,2.0,4.0,5.0,2.0,2.0,3.0,,3.0,,,2.0,3.0,5.0,3.0,4.0,4.0,3.0,4.0,4.0,,S1330,43.66223715,-79.361553726,315950.172,4835597.5
816886,4153615,2017.0,2021,1978.0,TCHC,14,Toronto-Danforth,80 DANFORTH AVE,5,131,2021-12-15,78,Evaluation needs to be conducted in 2 years,18,4.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,,3.0,3.0,5.0,4.0,3.0,4.0,4.0,4.0,,3.0,S1424,43.67633044270001,-79.3597559522,316092.805,4837162.489
816887,4154130,2017.0,2021,1965.0,PRIVATE,14,Toronto-Danforth,50 COSBURN AVE,12,173,2021-12-15,82,Evaluation needs to be conducted in 2 years,19,5.0,5.0,5.0,3.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,5.0,5.0,2.0,4.0,4.0,5.0,4.0,3.0,,S1421,43.6891373921,-79.3519022582,316723.54600000003,4838586.397
816888,4154111,2017.0,2021,1962.0,PRIVATE,14,Toronto-Danforth,25 COSBURN AVE,22,129,2021-12-15,82,Evaluation needs to be conducted in 2 years,18,4.0,5.0,5.0,5.0,4.0,5.0,3.0,4.0,5.0,,4.0,5.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,,S1421,43.6881435504,-79.3536043403,316586.531,4838475.75
816889,4152596,2017.0,2021,1964.0,TCHC,20,Scarborough Southwest,682 WARDEN AVE,15,223,2021-12-15,60,Evaluation needs to be conducted in 1 year,19,2.0,4.0,5.0,3.0,3.0,3.0,2.0,4.0,2.0,,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,E2028,43.705953312,-79.279044598,322591.70399999997,4840468.483
816890,4155217,2017.0,2021,1960.0,PRIVATE,3,Etobicoke-Lakeshore,270 SHELDON AVE,6,74,2021-12-15,74,Evaluation needs to be conducted in 2 years,18,4.0,5.0,5.0,3.0,4.0,4.0,,3.0,3.0,3.0,3.0,4.0,5.0,3.0,4.0,4.0,3.0,3.0,4.0,,W0331,43.609210519399994,-79.54621078939999,301054.105,4829697.381
816891,4152613,2017.0,2021,1960.0,PRIVATE,20,Scarborough Southwest,540 BIRCHMOUNT RD,4,27,2021-12-15,73,Evaluation needs to be conducted in 2 years,16,3.0,4.0,5.0,4.0,3.0,4.0,,5.0,,,3.0,3.0,5.0,3.0,3.0,3.0,3.0,4.0,3.0,,E2029,43.7107990699,-79.2702992344,323295.275,4841007.788
816892,4154134,2017.0,2021,1965.0,PRIVATE,14,Toronto-Danforth,100 GAMBLE AVE,12,152,2021-12-15,60,Evaluation needs to be conducted in 1 year,18,3.0,3.0,4.0,2.0,3.0,3.0,3.0,2.0,3.0,,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,,S1421,43.6904194773,-79.350649972,316824.231,4838729.001
816893,4303769,2018.0,2021,1968.0,PRIVATE,2,Etobicoke Centre,63 CALLOWHILL DR,10,112,2021-12-14,60,Evaluation needs to be conducted in 1 year,19,2.0,3.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,,W0221,,,299662.554,4837921.687
816894,4155218,2017.0,2021,1982.0,SOCIAL HOUSING,3,Etobicoke-Lakeshore,256 SHELDON AVE,7,76,2021-12-14,84,Evaluation needs to be conducted in 2 years,18,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,,4.0,5.0,5.0,4.0,4.0,4.0,,3.0,4.0,5.0,W0331,43.6084801152,-79.5465065872,301030.182,4829616.243
